ID,class
10573,91
10574,83
10575,40
10576,91
10577,74
10578,45
10579,19
10580,83
10581,20
10582,53
10583,2
10584,16
10585,20
10586,77
10587,38
10588,93
10589,6
10590,61
10591,6
10592,77
10593,82
10594,20
10595,91
10596,62
10597,3
10598,56
10599,0
10600,20
10601,19
10602,19
10603,79
10604,6
10605,75
10606,27
10607,71
10608,3
10609,25
10610,6
10611,71
10612,14
10613,53
10614,34
10615,87
10616,67
10617,6
10618,51
10619,56
10620,23
10621,64
10622,6
10623,82
10624,19
10625,23
10626,36
10627,78
10628,39
10629,54
10630,93
10631,93
10632,77
10633,92
10634,64
10635,62
10636,16
10637,62
10638,59
10639,81
10640,27
10641,93
10642,81
10643,54
10644,51
10645,45
10646,54
10647,18
10648,64
10649,98
10650,11
10651,65
10652,78
10653,62
10654,74
10655,20
10656,3
10657,66
10658,27
10659,14
10660,64
10661,54
10662,62
10663,91
10664,6
10665,19
10666,86
10667,48
10668,62
10669,20
10670,6
10671,87
10672,77
10673,90
10674,62
10675,8
10676,11
10677,91
10678,73
10679,19
10680,37
10681,21
10682,79
10683,54
10684,7
10685,98
10686,98
10687,62
10688,4
10689,89
10690,46
10691,20
10692,82
10693,16
10694,40
10695,19
10696,16
10697,53
10698,14
10699,0
10700,83
10701,13
10702,5
10703,38
10704,62
10705,48
10706,71
10707,0
10708,19
10709,62
10710,20
10711,77
10712,12
10713,8
10714,62
10715,63
10716,42
10717,93
10718,20
10719,54
10720,86
10721,91
10722,6
10723,40
10724,62
10725,82
10726,19
10727,5
10728,19
10729,62
10730,0
10731,40
10732,98
10733,71
10734,16
10735,25
10736,52
10737,12
10738,35
10739,69
10740,42
10741,92
10742,65
10743,82
10744,74
10745,16
10746,54
10747,13
10748,88
10749,91
10750,54
10751,19
10752,89
10753,69
10754,16
10755,57
10756,40
10757,35
10758,48
10759,89
10760,16
10761,7
10762,14
10763,16
10764,41
10765,20
10766,99
10767,59
10768,45
10769,67
10770,11
10771,91
10772,20
10773,52
10774,71
10775,71
10776,20
10777,54
10778,27
10779,56
10780,85
10781,6
10782,26
10783,81
10784,82
10785,98
10786,54
10787,20
10788,3
10789,52
10790,91
10791,64
10792,23
10793,82
10794,61
10795,16
10796,14
10797,56
10798,53
10799,71
10800,6
10801,31
10802,5
10803,0
10804,40
10805,81
10806,40
10807,81
10808,45
10809,5
10810,16
10811,62
10812,87
10813,3
10814,27
10815,54
10816,45
10817,57
10818,12
10819,83
10820,36
10821,6
10822,34
10823,40
10824,20
10825,14
10826,8
10827,77
10828,57
10829,20
10830,91
10831,20
10832,70
10833,19
10834,62
10835,40
10836,57
10837,70
10838,45
10839,92
10840,54
10841,6
10842,66
10843,19
10844,25
10845,9
10846,42
10847,62
10848,98
10849,62
10850,3
10851,75
10852,74
10853,56
10854,62
10855,6
10856,3
10857,52
10858,40
10859,4
10860,17
10861,88
10862,5
10863,5
10864,37
10865,20
10866,35
10867,62
10868,23
10869,99
10870,14
10871,54
10872,62
10873,77
10874,20
10875,40
10876,19
10877,99
10878,51
10879,56
10880,63
10881,21
10882,54
10883,15
10884,56
10885,54
10886,62
10887,8
10888,0
10889,62
10890,19
10891,61
10892,91
10893,54
10894,48
10895,8
10896,64
10897,37
10898,74
10899,71
10900,98
10901,78
10902,54
10903,89
10904,71
10905,57
10906,56
10907,5
10908,64
10909,64
10910,52
10911,54
10912,75
10913,62
10914,54
10915,90
10916,75
10917,56
10918,16
10919,54
10920,21
10921,59
10922,16
10923,6
10924,61
10925,91
10926,62
10927,36
10928,57
10929,3
10930,31
10931,77
10932,38
10933,42
10934,54
10935,82
10936,31
10937,3
10938,56
10939,10
10940,6
10941,64
10942,56
10943,52
10944,3
10945,19
10946,36
10947,91
10948,71
10949,83
10950,20
10951,48
10952,75
10953,35
10954,29
10955,29
10956,25
10957,54
10958,35
10959,52
10960,3
10961,91
10962,11
10963,5
10964,81
10965,16
10966,14
10967,49
10968,93
10969,54
10970,2
10971,13
10972,86
10973,54
10974,43
10975,80
10976,54
10977,16
10978,11
10979,64
10980,62
10981,52
10982,1
10983,1
10984,27
10985,62
10986,64
10987,7
10988,75
10989,98
10990,65
10991,1
10992,4
10993,82
10994,54
10995,71
10996,54
10997,62
10998,62
10999,0
11000,54
11001,13
11002,54
11003,54
11004,23
11005,40
11006,31
11007,51
11008,35
11009,91
11010,7
11011,75
11012,3
11013,81
11014,83
11015,11
11016,64
11017,82
11018,12
11019,31
11020,78
11021,40
11022,15
11023,16
11024,78
11025,62
11026,31
11027,2
11028,40
11029,54
11030,4
11031,14
11032,54
11033,93
11034,15
11035,50
11036,31
11037,18
11038,16
11039,51
11040,40
11041,74
11042,4
11043,55
11044,51
11045,42
11046,5
11047,34
11048,45
11049,11
11050,40
11051,79
11052,20
11053,19
11054,8
11055,19
11056,91
11057,64
11058,88
11059,98
11060,89
11061,23
11062,48
11063,78
11064,3
11065,40
11066,82
11067,54
11068,8
11069,16
11070,62
11071,83
11072,3
11073,40
11074,25
11075,71
11076,16
11077,20
11078,34
11079,89
11080,61
11081,7
11082,19
11083,29
11084,62
11085,48
11086,5
11087,77
11088,86
11089,39
11090,82
11091,46
11092,27
11093,54
11094,8
11095,54
11096,7
11097,34
11098,45
11099,64
11100,6
11101,81
11102,78
11103,1
11104,35
11105,15
11106,9
11107,81
11108,0
11109,3
11110,75
11111,85
11112,15
11113,36
11114,62
11115,3
11116,11
11117,54
11118,12
11119,3
11120,16
11121,6
11122,82
11123,40
11124,51
11125,62
11126,6
11127,33
11128,59
11129,74
11130,3
11131,16
11132,10
11133,61
11134,51
11135,42
11136,42
11137,6
11138,11
11139,77
11140,20
11141,54
11142,56
11143,3
11144,90
11145,2
11146,54
11147,62
11148,3
11149,31
11150,54
11151,48
11152,93
11153,93
11154,22
11155,20
11156,62
11157,16
11158,60
11159,25
11160,6
11161,83
11162,79
11163,79
11164,62
11165,3
11166,53
11167,54
11168,81
11169,54
11170,16
11171,5
11172,62
11173,54
11174,88
11175,62
11176,45
11177,6
11178,99
11179,23
11180,23
11181,83
11182,79
11183,22
11184,71
11185,59
11186,31
11187,0
11188,9
11189,6
11190,62
11191,51
11192,5
11193,6
11194,91
11195,56
11196,1
11197,12
11198,47
11199,45
11200,63
11201,8
11202,63
11203,48
11204,2
11205,62
11206,82
11207,35
11208,98
11209,20
11210,81
11211,4
11212,90
11213,4
11214,99
11215,98
11216,54
11217,54
11218,52
11219,82
11220,12
11221,71
11222,82
11223,71
11224,91
11225,16
11226,59
11227,25
11228,75
11229,15
11230,37
11231,19
11232,14
11233,98
11234,55
11235,62
11236,12
11237,60
11238,6
11239,49
11240,37
11241,0
11242,31
11243,65
11244,19
11245,3
11246,35
11247,91
11248,11
11249,48
11250,8
11251,82
11252,57
11253,90
11254,11
11255,62
11256,6
11257,74
11258,77
11259,77
11260,54
11261,82
11262,71
11263,62
11264,62
11265,54
11266,51
11267,78
11268,19
11269,10
11270,74
11271,10
11272,3
11273,82
11274,82
11275,8
11276,51
11277,82
11278,40
11279,56
11280,91
11281,42
11282,20
11283,40
11284,83
11285,19
11286,27
11287,14
11288,82
11289,21
11290,2
11291,71
11292,19
11293,54
11294,98
11295,51
11296,78
11297,91
11298,8
11299,61
11300,6
11301,16
11302,21
11303,80
11304,63
11305,48
11306,36
11307,54
11308,8
11309,8
11310,35
11311,20
11312,78
11313,45
11314,20
11315,8
11316,93
11317,4
11318,81
11319,13
11320,82
11321,23
11322,83
11323,14
11324,1
11325,37
11326,37
11327,19
11328,12
11329,87
11330,62
11331,82
11332,13
11333,45
11334,51
11335,79
11336,64
11337,11
11338,52
11339,20
11340,23
11341,16
11342,23
11343,89
11344,16
11345,71
11346,91
11347,19
11348,57
11349,54
11350,87
11351,48
11352,57
11353,61
11354,6
11355,62
11356,62
11357,54
11358,91
11359,14
11360,67
11361,67
11362,45
11363,59
11364,82
11365,2
11366,7
11367,40
11368,19
11369,74
11370,36
11371,63
11372,6
11373,57
11374,1
11375,54
11376,54
11377,22
11378,3
11379,42
11380,31
11381,56
11382,58
11383,98
11384,20
11385,91
11386,31
11387,55
11388,54
11389,20
11390,14
11391,90
11392,99
11393,56
11394,6
11395,6
11396,5
11397,40
11398,62
11399,19
11400,14
11401,64
11402,82
11403,91
11404,35
11405,53
11406,4
11407,62
11408,62
11409,79
11410,48
11411,71
11412,55
11413,38
11414,0
11415,20
11416,73
11417,54
11418,40
11419,14
11420,64
11421,3
11422,14
11423,68
11424,40
11425,82
11426,57
11427,20
11428,82
11429,82
11430,71
11431,93
11432,52
11433,54
11434,16
11435,91
11436,53
11437,74
11438,8
11439,5
11440,23
11441,73
11442,93
11443,7
11444,20
11445,36
11446,34
11447,91
11448,15
11449,84
11450,75
11451,84
11452,71
11453,36
11454,77
11455,54
11456,5
11457,6
11458,91
11459,16
11460,29
11461,56
11462,11
11463,97
11464,20
11465,3
11466,25
11467,93
11468,94
11469,36
11470,64
11471,57
11472,53
11473,8
11474,82
11475,8
11476,53
11477,3
11478,8
11479,16
11480,98
11481,54
11482,89
11483,35
11484,31
11485,16
11486,40
11487,16
11488,56
11489,5
11490,39
11491,66
11492,1
11493,6
11494,16
11495,63
11496,6
11497,42
11498,54
11499,10
11500,81
11501,71
11502,19
11503,6
11504,20
11505,53
11506,16
11507,16
11508,93
11509,83
11510,72
11511,99
11512,54
11513,88
11514,20
11515,57
11516,16
11517,62
11518,34
11519,91
11520,52
11521,5
11522,34
11523,79
11524,91
11525,23
11526,62
11527,16
11528,16
11529,45
11530,3
11531,3
11532,83
11533,15
11534,16
11535,40
11536,44
11537,98
11538,83
11539,59
11540,79
11541,20
11542,53
11543,89
11544,83
11545,39
11546,7
11547,11
11548,16
11549,0
11550,19
11551,62
11552,1
11553,19
11554,36
11555,71
11556,45
11557,62
11558,6
11559,75
11560,53
11561,52
11562,86
11563,91
11564,40
11565,56
11566,62
11567,62
11568,23
11569,62
11570,54
11571,64
11572,98
11573,48
11574,50
11575,16
11576,22
11577,16
11578,13
11579,44
11580,35
11581,55
11582,74
11583,90
11584,46
11585,65
11586,57
11587,8
11588,62
11589,86
11590,94
11591,31
11592,36
11593,70
11594,16
11595,19
11596,71
11597,82
11598,16
11599,67
11600,53
11601,16
11602,45
11603,3
11604,82
11605,88
11606,98
11607,26
11608,11
11609,91
11610,15
11611,7
11612,40
11613,51
11614,48
11615,54
11616,4
11617,8
11618,22
11619,14
11620,93
11621,51
11622,33
11623,62
11624,35
11625,75
11626,91
11627,15
11628,51
11629,6
11630,3
11631,44
11632,40
11633,12
11634,45
11635,50
11636,83
11637,91
11638,5
11639,71
11640,11
11641,39
11642,44
11643,54
11644,16
11645,6
11646,54
11647,40
11648,54
11649,51
11650,71
11651,91
11652,17
11653,8
11654,39
11655,6
11656,54
11657,74
11658,62
11659,55
11660,45
11661,22
11662,91
11663,64
11664,3
11665,19
11666,11
11667,62
11668,84
11669,23
11670,69
11671,1
11672,36
11673,65
11674,8
11675,45
11676,84
11677,59
11678,18
11679,90
11680,62
11681,13
11682,81
11683,77
11684,22
11685,36
11686,6
11687,3
11688,71
11689,20
11690,28
11691,10
11692,62
11693,78
11694,91
11695,16
11696,64
11697,31
11698,62
11699,62
11700,56
11701,42
11702,3
11703,64
11704,54
11705,14
11706,70
11707,3
11708,62
11709,7
11710,62
11711,91
11712,91
11713,10
11714,45
11715,20
11716,71
11717,90
11718,77
11719,34
11720,82
11721,91
11722,16
11723,15
11724,23
11725,54
11726,16
11727,47
11728,81
11729,19
11730,57
11731,83
11732,77
11733,54
11734,20
11735,11
11736,21
11737,20
11738,16
11739,51
11740,97
11741,77
11742,40
11743,62
11744,62
11745,90
11746,64
11747,20
11748,50
11749,27
11750,3
11751,62
11752,31
11753,67
11754,23
11755,45
11756,2
11757,53
11758,40
11759,59
11760,73
11761,17
11762,40
11763,54
11764,40
11765,16
11766,20
11767,54
11768,71
11769,79
11770,71
11771,70
11772,6
11773,63
11774,54
11775,35
11776,81
11777,45
11778,98
11779,98
11780,79
11781,54
11782,40
11783,82
11784,79
11785,20
11786,62
11787,54
11788,59
11789,13
11790,34
11791,20
11792,16
11793,9
11794,95
11795,91
11796,37
11797,93
11798,91
11799,57
11800,3
11801,62
11802,91
11803,71
11804,36
11805,42
11806,82
11807,56
11808,16
11809,3
11810,51
11811,13
11812,77
11813,99
11814,4
11815,85
11816,59
11817,64
11818,13
11819,57
11820,87
11821,12
11822,32
11823,2
11824,0
11825,91
11826,62
11827,54
11828,56
11829,62
11830,14
11831,51
11832,56
11833,23
11834,51
11835,48
11836,56
11837,71
11838,25
11839,64
11840,62
11841,83
11842,19
11843,3
11844,19
11845,71
11846,83
11847,80
11848,54
11849,55
11850,91
11851,56
11852,52
11853,55
11854,71
11855,89
11856,54
11857,70
11858,62
11859,91
11860,5
11861,48
11862,79
11863,57
11864,4
11865,20
11866,65
11867,98
11868,99
11869,12
11870,6
11871,86
11872,61
11873,8
11874,63
11875,91
11876,53
11877,5
11878,7
11879,62
11880,20
11881,86
11882,16
11883,98
11884,86
11885,91
11886,83
11887,54
11888,70
11889,16
11890,54
11891,99
11892,40
11893,57
11894,23
11895,64
11896,84
11897,23
11898,67
11899,8
11900,56
11901,11
11902,91
11903,82
11904,98
11905,36
11906,91
11907,44
11908,93
11909,84
11910,6
11911,66
11912,93
11913,93
11914,38
11915,40
11916,16
11917,71
11918,27
11919,64
11920,56
11921,45
11922,91
11923,52
11924,31
11925,28
11926,8
11927,20
11928,8
11929,57
11930,47
11931,40
11932,62
11933,41
11934,7
11935,1
11936,12
11937,93
11938,6
11939,57
11940,20
11941,8
11942,83
11943,16
11944,8
11945,59
11946,82
11947,7
11948,26
11949,44
11950,8
11951,83
11952,41
11953,6
11954,20
11955,14
11956,65
11957,70
11958,23
11959,98
11960,84
11961,16
11962,56
11963,6
11964,98
11965,93
11966,57
11967,42
11968,91
11969,32
11970,40
11971,89
11972,3
11973,33
11974,93
11975,45
11976,83
11977,14
11978,43
11979,49
11980,2
11981,39
11982,16
11983,9
11984,6
11985,90
11986,3
11987,71
11988,17
11989,91
11990,20
11991,42
11992,91
11993,43
11994,53
11995,83
11996,62
11997,71
11998,20
11999,32
12000,19
12001,79
12002,3
12003,3
12004,21
12005,1
12006,54
12007,51
12008,54
12009,6
12010,6
12011,91
12012,40
12013,51
12014,16
12015,40
12016,20
12017,8
12018,93
12019,20
12020,54
12021,31
12022,98
12023,65
12024,81
12025,20
12026,91
12027,8
12028,3
12029,54
12030,7
12031,40
12032,70
12033,33
12034,20
12035,3
12036,83
12037,59
12038,78
12039,41
12040,16
12041,81
12042,12
12043,5
12044,84
12045,57
12046,13
12047,71
12048,61
12049,57
12050,83
12051,61
12052,83
12053,8
12054,7
12055,9
12056,1
12057,64
12058,53
12059,38
12060,54
12061,62
12062,52
12063,81
12064,35
12065,82
12066,12
12067,19
12068,54
12069,52
12070,3
12071,81
12072,39
12073,23
12074,56
12075,13
12076,56
12077,53
12078,23
12079,18
12080,62
12081,22
12082,64
12083,8
12084,40
12085,93
12086,3
12087,64
12088,74
12089,97
12090,78
12091,62
12092,6
12093,71
12094,48
12095,49
12096,40
12097,79
12098,64
12099,71
12100,3
12101,20
12102,10
12103,53
12104,8
12105,74
12106,62
12107,81
12108,82
12109,62
12110,16
12111,35
12112,20
12113,72
12114,74
12115,51
12116,40
12117,8
12118,58
12119,57
12120,70
12121,13
12122,64
12123,54
12124,16
12125,98
12126,38
12127,18
12128,6
12129,62
12130,3
12131,27
12132,81
12133,31
12134,64
12135,23
12136,39
12137,74
12138,81
12139,36
12140,4
12141,62
12142,91
12143,75
12144,62
12145,36
12146,85
12147,62
12148,36
12149,6
12150,45
12151,91
12152,54
12153,44
12154,19
12155,40
12156,1
12157,91
12158,59
12159,55
12160,44
12161,82
12162,62
12163,6
12164,51
12165,19
12166,54
12167,60
12168,0
12169,1
12170,12
12171,7
12172,16
12173,16
12174,51
12175,98
12176,6
12177,10
12178,3
12179,57
12180,74
12181,16
12182,79
12183,48
12184,82
12185,83
12186,56
12187,56
12188,75
12189,81
12190,93
12191,89
12192,82
12193,51
12194,82
12195,6
12196,19
12197,36
12198,23
12199,45
12200,85
12201,54
12202,82
12203,54
12204,92
12205,23
12206,5
12207,71
12208,6
12209,19
12210,23
12211,19
12212,83
12213,62
12214,12
12215,88
12216,36
12217,6
12218,1
12219,35
12220,40
12221,40
12222,54
12223,98
12224,62
12225,21
12226,71
12227,82
12228,16
12229,79
12230,5
12231,62
12232,82
12233,21
12234,16
12235,16
12236,21
12237,1
12238,27
12239,21
12240,99
12241,64
12242,16
12243,40
12244,93
12245,69
12246,82
12247,62
12248,83
12249,6
12250,11
12251,36
12252,53
12253,79
12254,19
12255,15
12256,62
12257,8
12258,74
12259,36
12260,81
12261,54
12262,54
12263,98
12264,6
12265,48
12266,61
12267,20
12268,79
12269,52
12270,52
12271,54
12272,51
12273,0
12274,0
12275,81
12276,19
12277,32
12278,35
12279,40
12280,23
12281,22
12282,20
12283,23
12284,2
12285,23
12286,36
12287,71
12288,44
12289,63
12290,62
12291,42
12292,62
12293,16
12294,45
12295,25
12296,47
12297,62
12298,99
12299,45
12300,99
12301,75
12302,34
12303,44
12304,4
12305,77
12306,54
12307,56
12308,56
12309,82
12310,62
12311,15
12312,45
12313,64
12314,53
12315,16
12316,3
12317,57
12318,79
12319,7
12320,91
12321,6
12322,56
12323,51
12324,40
12325,45
12326,83
12327,82
12328,14
12329,62
12330,19
12331,63
12332,20
12333,71
12334,4
12335,8
12336,16
12337,74
12338,16
12339,59
12340,36
12341,88
12342,50
12343,40
12344,59
12345,18
12346,43
12347,61
12348,62
12349,33
12350,93
12351,57
12352,91
12353,56
12354,77
12355,74
12356,16
12357,40
12358,62
12359,93
12360,98
12361,88
12362,59
12363,62
12364,54
12365,3
12366,40
12367,20
12368,54
12369,15
12370,5
12371,16
12372,3
12373,82
12374,8
12375,16
12376,62
12377,54
12378,56
12379,21
12380,39
12381,91
12382,57
12383,63
12384,82
12385,1
12386,3
12387,7
12388,64
12389,23
12390,1
12391,91
12392,19
12393,99
12394,16
12395,4
12396,20
12397,53
12398,44
12399,91
12400,40
12401,54
12402,6
12403,6
12404,81
12405,78
12406,45
12407,62
12408,88
12409,48
12410,90
12411,40
12412,4
12413,21
12414,19
12415,23
12416,71
12417,62
12418,82
12419,16
12420,3
12421,64
12422,5
12423,44
12424,8
12425,53
12426,56
12427,77
12428,3
12429,20
12430,19
12431,8
12432,82
12433,52
12434,2
12435,53
12436,13
12437,23
12438,8
12439,40
12440,75
12441,16
12442,59
12443,21
12444,51
12445,16
12446,2
12447,7
12448,11
12449,45
12450,3
12451,19
12452,12
12453,35
12454,62
12455,6
12456,19
12457,7
12458,45
12459,75
12460,64
12461,17
12462,82
12463,9
12464,18
12465,19
12466,54
12467,40
12468,40
12469,48
12470,59
12471,16
12472,81
12473,16
12474,20
12475,67
12476,54
12477,90
12478,54
12479,23
12480,64
12481,77
12482,3
12483,54
12484,56
12485,45
12486,62
12487,88
12488,11
12489,14
12490,93
12491,3
12492,38
12493,46
12494,71
12495,61
12496,37
12497,7
12498,93
12499,20
12500,54
12501,91
12502,6
12503,45
12504,71
12505,62
12506,83
12507,16
12508,36
12509,93
12510,54
12511,40
12512,91
12513,16
12514,27
12515,51
12516,6
12517,82
12518,21
12519,62
12520,60
12521,5
12522,54
12523,3
12524,48
12525,91
12526,93
12527,5
12528,75
12529,21
12530,47
12531,54
12532,70
12533,5
12534,16
12535,6
12536,19
12537,62
12538,54
12539,11
12540,40
12541,91
12542,83
12543,36
12544,45
12545,90
12546,41
12547,91
12548,45
12549,6
12550,67
12551,87
12552,40
12553,19
12554,31
12555,57
12556,20
12557,48
12558,62
12559,33
12560,89
12561,63
12562,6
12563,83
12564,20
12565,9
12566,64
12567,48
12568,98
12569,3
12570,20
12571,91
12572,34
12573,90
12574,70
12575,40
12576,80
12577,53
12578,13
12579,75
12580,21
12581,8
12582,3
12583,84
12584,93
12585,15
12586,23
12587,87
12588,6
12589,82
12590,98
12591,40
12592,23
12593,6
12594,71
12595,83
12596,28
12597,8
12598,67
12599,16
12600,67
12601,16
12602,70
12603,52
12604,62
12605,93
12606,16
12607,54
12608,62
12609,6
12610,62
12611,81
12612,54
12613,7
12614,82
12615,54
12616,93
12617,71
12618,21
12619,54
12620,91
12621,54
12622,54
12623,71
12624,49
12625,35
12626,16
12627,62
12628,23
12629,52
12630,91
12631,8
12632,19
12633,71
12634,6
12635,11
12636,59
12637,52
12638,16
12639,1
12640,14
12641,56
12642,5
12643,62
12644,20
12645,65
12646,51
12647,3
12648,90
12649,61
12650,56
12651,87
12652,35
12653,41
12654,54
12655,40
12656,23
12657,74
12658,54
12659,34
12660,81
12661,91
12662,6
12663,3
12664,4
12665,85
12666,6
12667,19
12668,16
12669,91
12670,56
12671,19
12672,54
12673,8
12674,54
12675,55
12676,91
12677,56
12678,75
12679,51
12680,16
12681,8
12682,16
12683,62
12684,40
12685,16
12686,54
12687,5
12688,91
12689,82
12690,54
12691,31
12692,18
12693,12
12694,56
12695,19
12696,11
12697,16
12698,45
12699,71
12700,11
12701,8
12702,7
12703,13
12704,83
12705,59
12706,6
12707,81
12708,34
12709,20
12710,7
12711,45
12712,75
12713,21
12714,16
12715,90
12716,62
12717,45
12718,52
12719,6
12720,62
12721,64
12722,48
12723,14
12724,3
12725,65
12726,71
12727,55
12728,4
12729,48
12730,95
12731,82
12732,45
12733,7
12734,54
12735,93
12736,40
12737,71
12738,40
12739,56
12740,8
12741,59
12742,37
12743,51
12744,19
12745,36
12746,44
12747,63
12748,91
12749,59
12750,16
12751,59
12752,20
12753,62
12754,20
12755,68
12756,51
12757,7
12758,6
12759,61
12760,87
12761,53
12762,42
12763,16
12764,16
12765,46
12766,8
12767,79
12768,62
12769,45
12770,19
12771,71
12772,79
12773,51
12774,5
12775,6
12776,98
12777,79
12778,20
12779,54
12780,20
12781,32
12782,8
12783,57
12784,99
12785,82
12786,31
12787,13
12788,52
12789,33
12790,10
12791,8
12792,56
12793,75
12794,33
12795,62
12796,70
12797,6
